teacherID,name,years_of_experience,facultytype,age,highest_qualification,department_name,years_at_IBA,research_area_name
1.0,James Vega,38,Full-Time,48.0,PhD,Business Administration,24.0,Profound contextually-based service-desk
2.0,Sabrina Howe,38,Full-Time,56.0,PhD,Mathematics,24.0,Seamless modular project
3.0,James Sawyer,15,Full-Time,51.0,PhD,Biology,13.0,Compatible empowering knowledgebase
4.0,Melissa Pruitt,28,Full-Time,34.0,Masters,Finance,21.0,Synchronized real-time protocol
5.0,Jeremy Hampton,24,Visiting,41.0,PhD,Mathematics,16.0,Profound contextually-based service-desk
6.0,Kevin Sullivan,13,Full-Time,48.0,PhD,Biology,8.0,Seamless modular project
7.0,Kevin Clark,3,Full-Time,58.0,PhD,Finance,1.0,Multi-layered radical middleware
8.0,James Evans,27,Full-Time,56.0,Masters,Mathematics,13.0,Profound contextually-based service-desk
9.0,Mark Perez,6,Full-Time,45.0,Masters,Economics,3.0,Cloned 5thgeneration project
10.0,Debra Martinez,18,Full-Time,57.0,PhD,Finance,16.0,Customizable 5thgeneration leverage
11.0,Peter Hicks,7,Full-Time,48.0,PhD,Chemistry,6.0,Persevering encompassing array
12.0,Wendy Williams,26,Full-Time,52.0,PhD,Economics,21.0,Phased needs-based forecast
13.0,Alicia Davis,22,Visiting,30.0,PhD,Economics,19.0,Cloned 5thgeneration project
14.0,John Santiago,2,Visiting,57.0,PhD,Computer Science,1.0,Customizable 5thgeneration leverage
15.0,Ashley Peterson,19,Full-Time,58.0,Masters,Chemistry,9.0,Compatible empowering knowledgebase
16.0,Peter Newton,17,Visiting,60.0,Masters,Physics,10.0,Profound contextually-based service-desk
17.0,Lacey Clay,17,Visiting,40.0,PhD,Finance,3.0,Versatile full-range knowledge user
18.0,Yvonne Cruz,26,Full-Time,45.0,Masters,Biology,13.0,Persevering encompassing array
19.0,Charles Davis,14,Visiting,41.0,Masters,Biology,6.0,Profound contextually-based service-desk
20.0,Scott Combs,12,Full-Time,37.0,PhD,Mathematics,7.0,Phased needs-based forecast
21.0,Kristina Young,13,Full-Time,53.0,Masters,Chemistry,2.0,Persevering encompassing array
22.0,Craig Gonzales,10,Visiting,46.0,PhD,Mathematics,7.0,Phased needs-based forecast
23.0,Jason Bailey,28,Full-Time,36.0,Masters,Economics,20.0,Persevering encompassing array
24.0,Dr. Catherine Norton,36,Visiting,53.0,PhD,Social Sciences,24.0,Compatible empowering knowledgebase
25.0,Joshua Estes,19,Full-Time,56.0,PhD,Business Administration,19.0,Phased needs-based forecast
26.0,Brittany Pacheco,27,Full-Time,50.0,PhD,Computer Science,13.0,Persevering encompassing array
27.0,Bobby Lutz,21,Full-Time,46.0,Masters,Mathematics,14.0,Compatible empowering knowledgebase
28.0,Patricia Stephens,24,Full-Time,30.0,Masters,Physics,15.0,Versatile full-range knowledge user
29.0,Shari Rocha,31,Visiting,55.0,PhD,Mathematics,17.0,Persevering encompassing array
30.0,Lisa Sawyer,7,Visiting,30.0,Masters,Mathematics,3.0,Phased needs-based forecast
31.0,Jason Thomas,15,Full-Time,31.0,PhD,Social Sciences,10.0,Compatible empowering knowledgebase
32.0,Krista Gibson,27,Full-Time,57.0,PhD,Economics,24.0,Profound contextually-based service-desk
33.0,Karen Kennedy,29,Full-Time,41.0,PhD,Mathematics,21.0,Phased needs-based forecast
34.0,Charles Pittman,16,Full-Time,60.0,Masters,Business Administration,3.0,Customizable 5thgeneration leverage
35.0,Adam Lozano,25,Visiting,50.0,Masters,Economics,16.0,Multi-layered radical middleware
36.0,Carlos Gonzales,17,Visiting,45.0,Masters,Physics,6.0,Cloned 5thgeneration project
37.0,Heather Bennett,20,Visiting,57.0,Masters,Economics,14.0,Persevering encompassing array
38.0,Elizabeth Benjamin,7,Visiting,43.0,Masters,Physics,6.0,Profound contextually-based service-desk
39.0,Zoe Wilson,20,Full-Time,54.0,Masters,Economics,6.0,Multi-layered radical middleware
40.0,Kyle Allen,34,Full-Time,35.0,PhD,Business Administration,22.0,Synchronized real-time protocol
41.0,Marvin Smith,17,Full-Time,43.0,Masters,Physics,8.0,Compatible empowering knowledgebase
42.0,Angel Coleman,26,Full-Time,60.0,PhD,Economics,14.0,Persevering encompassing array
43.0,Kelsey Barton,22,Full-Time,45.0,PhD,Mathematics,10.0,Cloned 5thgeneration project
44.0,Alexis Gray,29,Visiting,36.0,Masters,Chemistry,24.0,Persevering encompassing array
45.0,Stacy Rose,12,Full-Time,31.0,Masters,Finance,11.0,Profound contextually-based service-desk
46.0,Brian Humphrey,7,Visiting,53.0,PhD,Mathematics,7.0,Multi-layered radical middleware
47.0,Kristen Willis,29,Visiting,49.0,PhD,Finance,15.0,Cloned 5thgeneration project
48.0,Jason Giles,25,Full-Time,47.0,Masters,Finance,19.0,Profound contextually-based service-desk
49.0,Amber Mcgee,20,Visiting,44.0,Masters,Chemistry,19.0,Profound contextually-based service-desk
50.0,Donald Crawford,14,Full-Time,37.0,Masters,Economics,1.0,Compatible empowering knowledgebase
